ROW TYPE,ATTRIBUTE_NAME,Realisation,Initialisation,Parameters,prog_ent_max,prog_ent_min,prog_ent_xmin,prog_ent_int,prog_ent_grad,eff_dcfl,eff_dcff,cpress_term,ent_fac_sh,orig_mdet_fac,r_det,cca_md_knob,mparwtr,qlmin,stag_dropoff,cape_timescale,efrac,thpixs_mid,c_mass_sh,gwd_frc,fbcd,gsharp,nsigma,nsigmasf,fcrit,ez_max_bm,g0_rp,ricrit_rp,orog_drag_param,a_ent_1_rp,g1_rp,a_ent_2,dec_thres_cloud,par_mezcla_rp,lambda_min_rp,near_neut_z_on_l,tke_diag_fac,cbl_mix_fac_nml,dbsdtbs_turb_0,two_d_fsd_factor,dp_corr_strat,ice_width,c_r_correl,aut_qc,m_ci_rp,ai,x1r,ar,mp_dz_scal,param_mp_czero,param_mp_tau_lim,qclrime,ps_anth_so2_emiss,ps_dry_depvel_so2,ps_sigma_updraught,biom_aer_ems_scaling,sea_salt_ems_scaling,ps_acc_cor_scav,ps_natl_dms_emiss,marine_pom_ems_scaling,ps_dry_depvel_acc,ps_bc_refrac_im,aparam,liu_latent,bparam,u10_max_coare,rho_snow_fresh,a_snow_et,rho_snow_et_crit_delta,rho_snow_et_crit,can_clump_broadleaf,can_clump_needleleaf,tupp_io,f0_io,z0v_io,nl0_io,rootd_ft_io,n_lai_exposed3and4,fsmc_p0_io,gs_nvg_io
Experiment,,1,1,12,2.403467312,0.421139921,-3.03046717,-2.776616424,-1.055202438,1.543589519,3.241635456,0.587632707,0.904677289,1.139298268,0.542858653,0.717456251,0.001072808,0.000812302,1.32385023,992.1057723,0.732399309,0.624443802,0.026924893,0.913301035,1.991797169,1.570903999,1.658595372,3.425045485,1.752122536,451.0684955,6.614250315,1.511887141,0.631062216,0.250657606,0.926343326,0.035656969,0.131432436,0.163836107,43.68962845,1.099434913,0.276008456,0.049063641,0.000282981,1.419042725,11420.43446,0.252082232,0.742942297,2.965737568,2.239587744,0.034627929,0.368455938,0.629522041,2.303197102,5.095260643,1224.131401,0.000127692,1.07508722,2.247196153,1.584412586,1.005279393,3.179077321,1.690702893,0.995235448,2.080990361,1.042579161,0.775582342,0.085433657,0.003464482,-0.133822952,20.67873201,85.17243844,5.34E-06,39.54092216,124.7133606,5.392062802,5.792006186,35.7068016,0.717401198,0.954010903,0.074128213,4.111456774,1.960728188,0.584202684,0.011995198
Experiment,,1,1,13,2.126466939,0.338891402,-3.254916007,-3.178518647,-1.080645412,1.86826671,4.372241534,0.548472666,0.721295011,3.123652201,0.573490365,1.014633483,0.001264802,0.000433897,3.131103237,2592.34812,0.958949896,0.217094841,0.015735874,1.892022964,5.995617022,1.267526106,2.440606498,2.143654077,2.809355659,409.3948508,7.154746604,1.397673538,0.302730732,0.428198106,1.58247126,0.007960062,0.148828021,0.165944099,44.25175963,1.524736891,1.063669207,0.024140934,0.000550619,1.823385967,10133.12313,0.696946623,0.741677817,2.838618079,1.134906687,0.027067565,0.196470869,0.567636753,1.295096135,2.569915357,4076.274802,0.000575143,1.080995265,1.208742539,0.517376438,0.801131528,1.536390212,0.985956053,1.074631815,1.627590189,2.726670631,0.962965022,0.077616467,0.001879254,-0.140231386,17.05029406,113.4949801,3.41E-06,20.45001457,133.9449946,5.287513743,4.661734331,37.88299996,0.934166812,0.58895745,0.072680105,1.397871933,2.408023497,0.440581124,0.011740028
Experiment,,1,1,14,2.933022381,0.588993302,-3.425007689,-4.820624183,-1.579446815,2.613091578,7.962008977,0.416244371,1.598262693,1.05015656,0.838613682,1.409513352,0.001336714,0.000330749,3.849759319,1332.033299,0.957410135,0.85052704,0.032925506,5.340721174,2.783177432,1.296021732,3.429169742,1.893868932,2.823987296,467.2962036,3.427712715,2.917397352,0.022446155,0.354250729,1.309187477,0.057039029,0.058413128,0.137253836,36.60102296,4.63918879,1.249110784,0.2675161,0.000223916,1.368133596,11671.09891,0.808174079,0.480089741,3.134221816,1.174296471,0.019798479,0.223463028,0.531267284,1.319464152,9.4284801,672.6466646,0.000668887,1.391618216,0.656403073,0.423041756,2.394371851,0.632525012,0.963774477,0.670430582,2.331791585,4.238838705,0.844276663,0.083930604,0.003267004,-0.134947813,15.22090838,110.1959494,3.02E-06,10.93673891,121.1326883,10.69637806,7.273317478,39.98162916,0.800755645,1.394922299,0.04362435,3.368871725,3.025112593,0.796912705,0.00682746
Experiment,,1,1,15,2.368615276,0.475591815,-3.394074539,-3.765330403,-1.249507685,1.495187056,5.863995668,0.651564418,1.085427479,2.96172327,0.931797103,0.98294234,0.001657726,0.00085546,3.267493836,3674.462596,0.905551775,0.223971582,0.039851879,1.736896921,8.023969071,1.961495969,2.91945745,2.77395037,2.142640079,454.1759163,47.61520354,0.210016954,0.666348237,0.38415318,1.419696535,0.013659456,0.088518939,0.338464395,90.2571719,4.916037389,0.659485782,0.401854067,0.000242426,1.678428942,15803.25529,0.140013499,0.489878219,3.075224741,1.323539174,0.027815459,0.18398673,0.22209981,1.960662615,5.995306059,2212.685378,0.000367418,1.134329907,1.548893123,1.102385492,2.635763085,1.68676009,1.315384788,1.827242433,2.651278835,1.084707673,0.558804202,0.063161959,-0.00574561,-0.156774681,19.2019273,118.2404186,3.37E-06,63.36574564,181.6061642,10.2913883,7.466530336,28.66894041,0.807153617,1.2676457,0.039680082,5.239697788,2.545035676,0.785310547,0.011230245
Experiment,,1,1,16,1.579482456,0.569044534,-3.097720495,-1.158959747,-0.557830922,3.26058909,2.580259102,0.654632792,0.925049852,1.156335574,0.7563648,1.815251623,0.001683564,0.000267954,1.494550464,2464.660939,0.652928954,0.151249849,0.028217377,3.853554726,7.762404237,1.408225791,4.220053753,2.945382005,1.613726836,332.4255962,3.729730734,2.681158698,0.095651184,0.403761504,1.49216208,0.029387424,0.325501755,0.246730521,65.79480554,2.609179863,1.729881919,0.528853438,0.000309409,1.184090281,12120.34247,0.234080526,0.465354375,3.014255669,0.77671697,0.011725563,0.176658712,0.242000031,0.33639881,5.443602202,3020.312056,0.000230747,1.019699506,1.724926686,1.039166049,2.111061053,1.275447319,0.897944299,0.892815899,3.528898113,3.923502531,0.704167448,0.064894723,-0.000814949,-0.150774905,22.80864357,80.10628578,3.95E-06,60.32897565,140.4352614,10.00095454,3.100209388,26.89866461,0.87422264,1.525176424,0.059149897,2.20384887,1.526678581,0.675303561,0.007586267
Experiment,,1,1,17,2.534770614,0.439807533,-3.312180405,-3.905395031,-1.311885837,3.160596601,4.556003695,0.009934311,1.351816375,2.082611454,0.711073156,0.839632215,0.001539989,0.000190952,2.077316603,1026.147434,0.942665682,0.84787259,0.034921592,3.033755651,0.956947488,2.389165547,1.728485751,3.004398355,2.290733311,364.7437714,9.144175445,1.093592316,0.127029464,0.400117737,1.478695984,0.071955996,0.08200534,0.23931093,63.81624795,4.106139579,1.192882063,0.260950764,0.000276497,1.415419047,23056.53717,0.267434098,0.99858943,2.515096276,1.41620843,0.038028214,0.290699308,0.429636035,1.569172463,11.18415129,2722.033793,0.000397899,0.974967252,0.796730838,1.113696793,3.630757576,1.352838734,1.320726254,0.697633965,1.949266072,5.306126957,0.518829057,0.036851808,0.002271092,-0.164991342,17.3304585,122.785077,3.55E-06,39.87356249,162.6586395,10.20123643,6.677009174,39.1139108,0.850717441,0.832872228,0.058329878,5.641384636,3.639650661,0.010920884,0.009364321
Experiment,,1,1,18,1.826802777,0.38617785,-3.260297127,-2.462491251,-0.873745242,1.798218303,7.80751066,0.31777631,0.63714171,2.316387711,0.90404018,1.631554532,0.001498224,0.000847816,2.48162845,2376.322595,0.851130947,0.183070634,0.043948456,2.377884633,2.216781553,2.070545204,3.077760568,3.972800654,2.588477324,377.9329538,43.79575424,0.228332636,0.583084549,0.088796662,0.328161575,0.05089078,0.180399177,0.248665642,66.31083799,2.351292967,2.796471017,0.534499687,3.61E-05,1.769216019,15158.23498,0.002774264,0.493254392,2.412552672,1.498272201,0.015514713,0.203694326,0.216686459,2.695013544,4.054937741,5088.861348,8.03E-05,0.88703175,0.634912146,1.126527059,2.035254107,1.50652465,0.876397456,1.341417317,1.119573284,4.084023169,0.694253701,0.066748257,-0.003176856,-0.151993182,23.15594451,113.9854524,2.34E-06,51.78618421,165.7716366,6.393282787,4.929641581,37.69944996,0.862228328,0.879998717,0.018445414,2.017181012,2.423029882,0.037302716,0.008763778
Experiment,,1,1,19,1.996512516,0.542107086,-3.463269678,-2.941727071,-1.00593788,1.525543365,6.782083787,0.30136226,1.653536882,2.279200161,0.725199517,1.20499616,0.001543986,0.000803398,2.199133754,3647.149872,0.709676219,0.761645471,0.037381317,5.401258892,5.342742851,0.338095674,2.937374385,2.163555724,1.371021612,416.8485107,41.11664168,0.243210525,0.540746225,0.170727811,0.630950607,0.084749939,0.161684274,0.142522584,38.00602232,2.639095959,1.046316274,0.118036023,0.000153713,1.826226899,30219.98579,0.174877145,0.277543234,2.781580368,1.076067128,0.011659206,0.181611845,0.503546222,0.756482194,4.810302851,3690.729848,0.000482755,1.042520999,3.075774014,1.340354136,1.843023704,1.993601506,1.179223601,1.486026815,1.993099512,6.511592569,0.70754483,0.06914972,-0.004397431,-0.151732054,15.42389586,136.0499189,1.07E-06,30.20123587,166.2511548,11.02032991,2.854708329,31.38886239,0.879354879,2.065615242,0.096853135,1.741229058,1.422547783,0.114833182,0.013197097
Experiment,,1,1,20,2.572622974,0.44924599,-3.550303513,-5.098816814,-1.562700987,3.858788782,2.224620352,0.398674315,0.774387685,1.288648156,0.523004715,0.897718769,0.001183024,0.000262147,1.36122946,3349.951055,0.875688364,0.822755988,0.035510926,4.757448048,4.061537447,1.645869895,2.157155739,2.495628606,0.8430478,386.8350099,16.69032002,0.599149686,0.163049128,0.255206113,0.943153027,0.035834211,0.060873445,0.05823493,15.52931463,3.144982935,1.390834581,0.111332629,0.000247674,1.401470107,4128.914176,0.859863732,0.215005611,2.196610234,1.24479868,0.021473627,0.340481887,0.055920476,0.28504471,6.470347624,1292.233224,0.000363282,1.271474731,0.598168746,0.723599407,1.382558029,0.888435702,1.495017621,1.300133131,2.868690024,4.761976284,0.740274535,0.04916258,-0.005016271,-0.16468296,23.01111195,110.7696294,4.56E-06,40.512431,151.2820604,5.875937987,6.155092486,34.52506725,0.886938696,0.906788153,0.068177742,4.357915284,3.010270113,0.246631019,0.012391725
Experiment,,1,1,21,2.121836646,0.555918409,-3.582442965,-3.672646253,-1.180357846,2.004048221,6.181097552,0.829522374,0.943515063,1.742859973,0.671960508,0.424461615,0.001662698,0.000456236,1.576620408,1558.332147,0.982799251,0.793096056,0.048319984,1.126693191,5.859564157,0.148158035,3.350719928,3.207185247,2.452436563,440.693448,15.48847907,0.645641186,0.389795547,0.169555608,0.626618551,0.028008758,0.090553521,0.042971468,11.45905821,2.167597109,0.795686756,0.607180745,0.00020069,1.09979886,18938.49637,0.512416682,0.559885341,3.096832201,1.257852015,0.039716058,0.157325559,0.630411825,3.23292324,7.162583865,1236.478615,9.57E-05,0.992113584,1.017388876,0.562398826,0.331961649,1.370141868,1.299551149,1.706019781,1.883876255,3.588712,0.891403625,0.079249867,0.006817089,-0.134285743,21.18703344,123.672757,4.37E-06,3.276812794,126.9495698,8.320245993,6.570229822,37.71675407,0.9279152,1.277641448,0.100489779,6.090262827,3.087714148,0.295050442,0.012789927
Experiment,,1,1,22,2.380817857,0.388040019,-3.576925257,-4.962662598,-1.495894444,3.290908677,1.52177877,0.837338191,0.927326373,1.975029194,0.488440492,1.17695315,0.001689536,0.000102213,2.040548879,2012.78857,0.51419958,0.34058818,0.026034601,2.1151831,7.274056793,0.660859089,2.980644205,3.821326888,0.975931599,444.3543304,33.30414112,0.30026296,0.522171486,0.322798001,1.192949133,0.070478728,0.12427891,0.12083742,32.22331207,2.309542901,1.136200637,0.824472627,0.000298927,1.14050754,4060.766649,0.062550234,0.261279444,2.228653902,1.715161501,0.018237522,0.175014046,0.541922379,2.067482622,8.692362081,3605.792563,0.000125744,0.862710102,2.373265319,0.94671573,3.606910092,0.598719559,1.137564768,0.652906228,1.028771283,3.557643405,0.797331415,0.037402506,0.006595295,-0.160327359,22.87281419,119.042527,2.07E-06,28.62499782,147.6675248,4.3668988,7.531100924,35.25673519,0.744819826,1.544581952,0.079817914,3.84435991,2.894039272,0.024340538,0.019231354
Experiment,,1,1,23,2.435650796,0.59128977,-2.845438481,-1.951782928,-0.893736665,2.041954195,5.678798591,0.765195673,0.999740785,1.737791841,0.722264053,0.318906327,0.001459138,0.00025248,3.038105394,2115.562658,0.801961787,0.828323687,0.022496345,3.126372924,2.580352242,0.876866752,2.840782876,2.580940356,1.265577965,398.4928679,42.91047017,0.233043357,0.186759281,0.363780168,1.344404969,0.044330435,0.250137962,0.192410872,51.30956581,2.483803514,1.292909443,0.157279691,0.000668176,1.231484858,2723.502055,0.43701152,0.679933497,2.71390189,1.810100534,0.017240751,0.293154924,0.155518706,1.983070232,6.529752101,1567.785185,8.24E-05,0.80257532,1.828558468,1.255898276,1.082892423,1.307665813,0.955221784,1.778564005,1.004963445,6.854608678,0.721332272,0.089553774,-0.002424129,-0.137169451,16.5773314,116.740743,3.33E-06,54.638768,171.379511,8.392038051,4.388226058,31.94639817,0.815857878,1.84015602,0.07378709,4.4224629,1.478069306,0.125419633,0.008002936
Experiment,,1,1,24,2.374272279,0.322448194,-3.33065013,-4.00708522,-1.299906398,1.353132993,7.518940033,0.637497572,1.782768531,1.716363164,0.66362624,0.584050094,0.001302657,0.000421752,1.058532894,1219.019285,0.878582546,0.509852588,0.059397464,4.835464383,7.916799454,0.750162373,2.802100594,2.062151404,2.94551995,318.7306195,11.20345561,0.892581748,0.102724148,0.301477062,1.11415436,0.052854584,0.18481278,0.200536699,53.47645295,1.619829696,1.180873348,0.591432461,0.000400247,1.918536035,20920.55285,0.223190292,0.575886554,2.632436333,1.181024297,0.054645437,0.152634355,0.615982263,2.118492168,4.465629428,1909.078106,2.88E-05,0.786461041,0.604080145,1.406677362,2.663988724,2.653610274,1.695825522,0.611492315,2.61624129,4.630358175,1.04033157,0.114534674,-0.003581101,-0.122913207,23.21868558,77.91325957,1.70E-06,1.29453521,79.20779478,2.896021565,3.741248466,34.7263829,0.875408558,1.220734066,0.023084034,2.896564532,1.151948376,0.479393824,0.008957074
Experiment,,1,1,25,1.71509922,0.580337734,-3.538252317,-2.348581209,-0.827786907,2.269220462,6.559828169,0.329258741,1.338921417,3.082271073,0.400840901,1.376418878,0.001165053,0.000482243,4.47554688,2875.114621,0.743960724,0.609326403,0.035026966,5.29309044,8.208602166,2.553735802,2.022553133,2.682898632,1.183832088,313.4763068,11.86146594,0.843066114,0.254396205,0.161217703,0.595804553,0.072474876,0.075243184,0.24787434,66.09982389,2.783481797,1.862522321,0.24127681,0.000273173,1.381436676,10659.8583,0.287534747,0.847522912,2.650933991,0.998335973,0.039157325,0.211780074,0.01447277,2.568273467,6.961230943,1749.257389,0.000834275,0.89635635,0.586474695,1.138595941,3.326451372,2.126005992,1.98519386,1.841097584,1.362137475,2.186314778,0.630783831,0.106363855,0.005569147,-0.118804355,16.23078474,86.77853079,4.17E-06,47.7390018,134.5175326,8.073539825,8.512801046,31.7480934,0.835009685,1.097595444,0.075547559,3.082166728,2.072270754,0.303588461,0.010897832
Experiment,,1,1,26,2.623372797,0.503839098,-2.88560619,-2.518739851,-1.047467585,0.98492678,1.11671023,0.702435638,1.715641211,1.28219908,0.859685183,0.225926833,0.001001005,0.000815055,3.509513814,1068.842202,0.829309484,0.595141666,0.024095154,5.762527355,3.296248399,0.772678148,3.598331804,3.900574133,2.624319462,380.0161395,21.19577482,0.471792142,0.520509972,0.106143738,0.392270336,0.037980001,0.122610464,0.23716319,63.24351745,5.411939206,1.11015687,0.674730221,0.000168363,1.340464272,17107.51265,0.047884317,0.410352761,2.407366431,1.668861315,0.018836247,0.206919676,0.211436563,1.877001032,11.22955047,3375.775528,0.000206566,0.927933069,1.402280536,0.622209886,3.739490958,1.49539287,1.08352743,1.736276713,2.403931342,0.539714421,1.059454154,0.043975496,0.006659424,-0.156207695,17.28372506,142.9676173,1.96E-06,27.53763931,170.5052566,5.561635325,5.4285107,27.15375125,0.868800584,1.191628648,0.036505737,1.230969442,3.24707476,0.656586483,0.008432019
Experiment,,1,1,27,1.853889731,0.687080545,-3.267472842,-1.635335075,-0.710768148,2.872907506,5.181960483,0.912835063,1.243282114,1.429295226,0.73107394,0.503137496,0.001650017,0.000695597,2.868657139,2236.635015,0.832053201,0.903746758,0.05332914,3.071293365,2.546321645,0.632731146,1.999503825,2.055769409,4.210977917,373.066079,10.94603784,0.913572577,0.675744929,0.02496714,0.092269864,0.030465954,0.114857929,0.334382648,89.1687061,3.494718277,2.345012682,0.846809543,0.000634973,1.251830699,20237.90095,0.904544602,0.086979907,2.988363587,1.506897313,0.029881237,0.350299509,0.44686537,0.820635818,3.335079495,1162.627906,0.000317184,1.094862299,0.95187504,1.08068752,1.765946804,1.264081936,1.778600853,1.139648106,1.514291513,3.151283329,0.451071328,0.07794927,0.001486758,-0.140418542,19.77541526,107.6730752,4.83E-06,61.58092804,169.2540033,5.486134155,3.579453506,26.40863807,0.895009982,1.74570523,0.076422877,2.708523516,3.337944568,0.251235145,0.006391087
Experiment,,1,1,28,2.049658212,0.648242753,-2.96011074,-1.480227793,-0.719050986,3.410731404,3.410578205,0.025769398,0.790254914,2.475911971,0.848457097,0.810552974,0.001138692,0.000608428,2.381485858,3334.442669,0.625365833,0.166911251,0.023681812,6.579047721,7.341004443,1.348212987,2.835733918,2.010199309,1.244637582,358.0597014,10.82578094,0.92372089,0.498638105,0.172381638,0.637062575,0.055572798,0.049492785,0.037953736,10.12099632,3.438020161,1.559904185,0.421178077,0.00044257,1.319310483,38529.40819,0.849310794,0.974508712,2.846596361,2.158568398,0.020216277,0.26281385,0.46558416,2.615497261,9.246122976,1048.372449,0.000168665,1.244332897,1.632465211,0.843470993,1.43774298,1.030044904,1.329644209,1.649112321,1.61546198,8.731218175,0.429761465,0.072850177,0.002677338,-0.142374103,15.77399724,76.87531062,2.39E-06,18.46175424,95.33706486,5.619297128,7.89139605,35.58748344,0.75902341,0.628197097,0.090873832,4.550575364,1.2083059,0.688702846,0.006722884
Experiment,,1,1,29,1.566731102,0.622236572,-3.064369965,-0.946717316,-0.511998847,3.612409283,1.222216531,0.13272768,1.880314285,0.262609527,0.450486898,1.241005386,0.001112889,0.000317769,2.250394263,4314.141699,0.964621756,0.533983088,0.041085739,0.855943908,6.979660535,0.357329953,3.033494248,2.881454631,0.546897604,394.5015482,35.74568407,0.279754053,0.626956775,0.28684772,1.0600894,0.077993088,0.060113931,0.229235268,61.12940492,5.204626293,0.569773398,0.425692433,0.000433164,1.795204893,15363.89148,0.559038532,0.956420546,2.850162913,2.059439251,0.052828431,0.222552932,0.872557666,1.522628145,9.457170868,1067.620627,0.000170387,0.876934105,1.181102259,1.572767906,1.317539902,1.625242719,1.71357759,1.07066181,0.620095897,0.139032842,1.086576645,0.053423025,-0.002611246,-0.15964924,22.04125403,117.9997204,6.20E-06,41.09505642,159.0947768,8.613690562,5.447150374,33.10006886,0.715339372,1.60913223,0.086071498,3.055071583,1.361944261,0.205752502,0.007174656
Experiment,,1,1,30,1.771536983,0.354054336,-2.977165567,-1.830337795,-0.733715369,2.731291838,2.838036513,0.102845578,1.460810408,2.444696542,0.940988281,0.789433136,0.00135979,0.000490063,2.539436746,5695.708148,0.920345676,0.327147803,0.036859435,5.186061036,4.804734114,0.645840626,4.012504196,2.026083182,0.556538241,359.6675603,13.80656697,0.724293014,0.648526846,0.096363165,0.356124741,0.052215187,0.172934621,0.0453366,12.08975988,3.751021702,1.318630493,0.783161329,0.000316142,1.046741223,31663.30528,0.7992269,0.77959455,2.85967012,0.589560656,0.016421102,0.274023058,0.717332597,3.136352071,7.909828169,2298.59085,0.000686718,1.04584165,1.137678274,1.053462515,1.500160157,0.972304419,1.888681946,1.861844748,0.491132397,4.004945928,0.809481785,0.090365363,-0.000479928,-0.134724499,20.14085447,64.76771849,2.48E-06,32.71578702,97.48350551,7.22695026,7.745379809,31.687676,0.884601777,0.607492582,0.065647763,4.30569315,1.042150926,0.045835587,0.011294484
Experiment,,1,1,31,2.087345467,0.534515094,-3.101562264,-2.130008383,-0.859090758,2.395915328,4.64613362,0.143421176,2.006837412,1.776887217,0.716719956,0.936551233,0.001586245,0.000184334,2.220723442,4695.496131,0.860293192,0.274175671,0.028590961,4.061382434,9.015431584,0.744498368,2.38575568,1.934888132,0.784449652,441.0986139,9.274234576,1.0782561,0.626632485,0.237934555,0.879323354,0.029883372,0.093392635,0.285682296,76.18194559,3.82707881,1.076071377,0.301349772,0.000407524,1.775444815,8950.726894,0.988070886,0.736653763,2.894869101,1.319681579,0.036374965,0.217638442,0.846353186,1.54379905,4.315507536,1645.258633,0.000605182,1.023691579,1.227666205,1.628583764,0.373264448,2.725516786,1.858628931,1.590637149,2.776094733,2.071380683,0.601807543,0.052887995,-0.000540242,-0.157908349,23.47173317,109.2050778,3.32E-06,4.881074606,114.0861524,9.553810688,5.417133528,37.39443194,0.940468992,1.34719953,0.037964762,3.553584501,3.136953626,0.55470402,0.011896663
Experiment,,1,1,32,2.893556443,0.627395192,-3.212075837,-3.661951329,-1.33538146,1.917646356,2.875416711,0.455076105,1.509543287,1.847375261,0.541126893,0.993146812,0.001126534,0.000171321,3.908773072,3621.50789,0.760752503,0.514370507,0.035112617,3.595724516,1.717353508,1.848467095,2.399101688,3.559488874,1.93416157,393.3534238,31.81535763,0.314313613,0.379730936,0.127953803,0.47287275,0.081337435,0.175539988,0.064244487,17.13186327,7.886365738,0.371024426,0.443799871,0.000658243,1.884233865,28303.70512,0.088499142,0.590501814,2.557195004,0.41312459,0.023699653,0.208778516,0.665943998,1.338524225,10.29590706,606.7687262,0.000269717,0.959002618,3.611897767,1.538460875,3.074895203,3.120698113,1.250444375,1.168938786,2.269707575,0.759540258,1.028325895,0.037884959,-0.005682756,-0.172307736,14.67493111,119.8451565,2.87E-06,54.2806726,174.1258291,9.765818814,5.767854356,36.82023432,0.927271468,0.822025495,0.079137533,4.758479165,2.097474605,0.146616942,0.013128505
Experiment,,1,1,33,1.83910411,0.659324138,-2.910240013,-1.058384996,-0.590229372,2.194413184,3.310064962,0.941889823,0.554235945,2.011341649,0.805484186,0.526521033,0.001435262,0.000748194,1.246532809,1469.729897,0.981940174,0.314038162,0.015909257,6.452030772,5.477897509,0.703456876,2.0919314,2.509360449,0.607215216,470.0240929,26.32290875,0.379897226,0.43750256,0.361680783,1.336646372,0.023714707,0.117240984,0.14707306,39.2194826,4.384842199,1.896910844,0.043420976,0.000471716,1.902812503,11999.06434,0.634454811,0.749839681,3.230129117,0.783287728,0.029720428,0.299837739,0.008499999,3.025457645,3.808256016,1517.890658,0.000320077,0.899038221,0.329487863,1.188246144,1.377577044,1.124651055,1.915295829,1.247899334,3.084586605,3.206384881,1.011742519,0.088699904,0.002532414,-0.132739745,21.35196699,59.00673792,2.47E-06,72.34808455,131.3548225,4.332143458,9.527864044,40.12815737,0.904969351,1.659765675,0.062871382,3.153965399,3.431474364,0.078076436,0.007641333
Experiment,,1,1,34,2.580736913,0.518707142,-3.323226705,-3.802341477,-1.30025695,0.991112957,4.949106042,0.847471277,0.860785228,2.225861524,0.693768783,0.199825771,0.00190171,0.000200357,3.701058919,2183.455154,0.83312037,0.955429796,0.038827754,4.535749817,6.159102633,0.475769224,2.704919978,1.96910267,0.816520525,375.6048695,20.56472892,0.486269478,0.59872651,0.330587125,1.221735029,0.067173449,0.202886794,0.234384389,62.50250363,0.895318915,0.750015474,0.163769255,0.000637602,1.514148112,13040.32304,0.410356528,0.097757486,2.938524895,1.36572769,0.016214382,0.122034654,0.248898986,2.914946617,4.020343743,2585.260632,0.000445306,1.10141453,1.646336797,1.302270276,1.050276197,0.294761606,1.581182783,1.531146948,3.405608884,3.031893473,0.935787241,0.058321598,0.003010235,-0.151005339,18.39324786,126.3767995,5.36E-06,45.75338474,172.1301842,6.317201258,4.194301179,29.121845,0.968814996,1.384897303,0.054402021,0.894143989,0.403957917,0.692674856,0.008474697
Experiment,,1,1,35,2.480922092,0.662453473,-3.035610899,-2.28402357,-0.970637259,1.037958697,6.522992524,0.633376219,0.989130841,1.036847664,0.53656155,0.961808658,0.001043044,0.000151456,2.118065192,2281.11208,0.45611498,0.679014116,0.052802664,6.477169573,1.070951975,2.108678204,3.237698005,1.843317696,1.542102398,400.6904754,4.058643627,2.463877324,0.105343996,0.090922409,0.336017597,0.042133748,0.206122516,0.363508138,96.93550338,1.609582789,0.769781426,0.862000789,0.000162801,1.095504083,35506.4677,0.413253389,0.158101434,2.550159724,0.802828145,0.035560077,0.270141081,0.898394792,1.779327589,3.844501786,821.002751,0.000626186,0.746514509,2.574612115,1.258860499,0.657762639,1.041057405,1.766165884,1.367022135,0.877137991,4.051844108,0.47881294,0.094483304,0.001230487,-0.130473315,20.69828609,82.23540699,6.79E-06,44.08771763,126.3231246,11.54224858,4.826555617,29.52539016,0.819589242,1.7115043,0.061775889,2.856538157,1.983441458,0.217965951,0.005740544
Experiment,,1,1,36,2.711112517,0.663306292,-2.753528254,-1.952574375,-0.950010469,1.330257426,1.580797603,0.809781593,0.838069689,2.521391469,0.453149102,0.449693581,0.001470395,0.000538839,2.505102651,5101.957438,0.321628708,0.651127683,0.049656981,2.732624206,9.530326664,1.258142721,2.458626406,1.053851145,2.688579379,366.1783971,6.240328058,1.602479855,0.076966785,0.297944047,1.101097566,0.023333205,0.17852954,0.165715737,44.19086314,1.390901138,1.309724867,0.188335616,0.000555968,1.084316463,4802.96238,0.322341053,0.597898535,3.189031603,1.041597549,0.040683268,0.110072477,0.270966433,2.179153064,9.937509994,3322.171612,0.00032955,1.264530172,0.396259721,0.96349376,1.364066953,1.155001235,0.797514579,1.697945859,2.929579837,3.76736152,0.796111121,0.044926107,0.002918797,-0.159361795,17.3528544,91.40010352,2.95E-06,26.83068133,118.2307848,6.99093523,3.886482663,31.45655889,0.962142298,1.53891024,0.110429922,5.206177494,2.800330379,0.108250384,0.008990218
